idx,topic,group,perplexity,log_perplexity,token_count,source_file,database_id
1375,,Whole Clean Corpus,84.83677712017423,4.440729141235352,47,procon_corpus.jsonl#L1206,cdfe76e1-c7a9-40bf-9e19-e1e13e8aeea7
1376,,Whole Clean Corpus,27.089873965831895,3.2991600036621094,205,procon_corpus.jsonl#L1207,c8dedf23-2fd6-40e8-9b74-3ac7030760f7
1377,,Whole Clean Corpus,74.21921273544804,4.307023048400879,156,procon_corpus.jsonl#L1207,003c6f29-eeeb-48cf-8d9d-f23e754f1b00
1378,,Whole Clean Corpus,43.977873739424126,3.783686637878418,101,procon_corpus.jsonl#L1208,1bd80d25-9712-426a-ad87-c1aae3eea48d
1379,,Whole Clean Corpus,33.0211975710945,3.497149705886841,83,procon_corpus.jsonl#L1209,466be6e2-7ebb-4123-8bb0-220444e27510
1380,,Whole Clean Corpus,41.93049692765652,3.736013412475586,90,procon_corpus.jsonl#L1210,5374fafa-8cf2-4be8-8bd5-5fa8cfa996ee
1381,,Whole Clean Corpus,37.71498793168797,3.6300575733184814,148,procon_corpus.jsonl#L1211,61b6ce3c-973d-4338-b142-b8c692369b0b
1382,,Whole Clean Corpus,31.576783210342263,3.4524221420288086,214,procon_corpus.jsonl#L1212,fe16d6dd-4942-450a-80ef-e3ae3ee68910
1383,,Whole Clean Corpus,31.534110464831514,3.4510698318481445,85,procon_corpus.jsonl#L1213,3c3ca2ac-2ca4-45ad-9c95-98a29ae2570b
1384,,Whole Clean Corpus,46.7607815858681,3.8450448513031006,103,procon_corpus.jsonl#L1214,7a4a9d48-7f52-484b-9676-7a3f0f312097
1385,,Whole Clean Corpus,27.424601289285228,3.3114404678344727,215,procon_corpus.jsonl#L1215,9c7214c2-6047-418e-96fe-4120ed08bb35
1386,,Whole Clean Corpus,27.41780205642236,3.311192512512207,64,procon_corpus.jsonl#L1216,f2dbead7-feaf-49ab-a78d-262781562255
1387,,Whole Clean Corpus,30.47857981051206,3.4170241355895996,203,procon_corpus.jsonl#L1216,4f167266-5770-4bb3-b3ac-48cc429c9c66
1388,,Whole Clean Corpus,56.777478829492075,4.039139747619629,103,procon_corpus.jsonl#L1217,5391bd94-5a74-4e02-9aea-106cd37d7f56
1389,,Whole Clean Corpus,41.99427632066903,3.7375333309173584,185,procon_corpus.jsonl#L1218,68ee9c06-4add-421e-b78d-0d4b02a604df
1390,,Whole Clean Corpus,32.452085199693066,3.479764699935913,95,procon_corpus.jsonl#L1219,101a03df-9280-4af2-a35c-72862811de0b
1391,,Whole Clean Corpus,43.26803293775742,3.767414093017578,103,procon_corpus.jsonl#L1220,b17a8dda-2fdf-4f05-8031-b7c62a5b9f32
1392,,Whole Clean Corpus,32.31722088913806,3.475600242614746,139,procon_corpus.jsonl#L1221,22961af5-b570-45bd-834e-02c39db8c24f
1393,,Whole Clean Corpus,15.150261863774341,2.718017816543579,92,procon_corpus.jsonl#L1222,d2fe2335-8c83-4f06-97c9-faa87990070d
1394,,Whole Clean Corpus,33.30973177672411,3.505849599838257,124,procon_corpus.jsonl#L1223,0aa0ffe0-237e-4d21-bace-3de210dabe29
1395,,Whole Clean Corpus,29.795317311701094,3.3943512439727783,99,procon_corpus.jsonl#L1224,cf499774-8095-4996-a777-1076bda4853e
1396,,Whole Clean Corpus,48.40399758727973,3.879582405090332,165,procon_corpus.jsonl#L1225,631aa468-615e-4067-a0e3-4be1c80a29e2
1397,,Whole Clean Corpus,29.8371807201735,3.3957552909851074,169,procon_corpus.jsonl#L1226,0befac41-f1a4-4e20-9782-5c29cf3f94c8
1398,,Whole Clean Corpus,44.65294017646918,3.798920154571533,117,procon_corpus.jsonl#L1227,595a31ae-5094-4ae3-b693-f8f8fb8d2a47
1399,,Whole Clean Corpus,54.548290851218454,3.999086380004883,198,procon_corpus.jsonl#L1228,5dba0e11-7ee1-49c0-8f4b-15232f7f3b0a
1400,,Whole Clean Corpus,40.13849480518511,3.692335844039917,195,procon_corpus.jsonl#L1229,09b649a2-bb5d-490c-b837-ad0428e9450b
1401,,Whole Clean Corpus,88.47435585435446,4.482712745666504,53,procon_corpus.jsonl#L1229,c3d2dfde-bce0-4813-a594-8d297c08367c
1402,,Whole Clean Corpus,14.124994404486714,2.6479458808898926,79,procon_corpus.jsonl#L1230,68b65670-3728-4423-901b-6bd25c7760bc
1403,,Whole Clean Corpus,39.33542757949441,3.6721255779266357,112,procon_corpus.jsonl#L1231,230a5a61-58c9-4d29-bce6-e187cea08cd4
1404,,Whole Clean Corpus,31.361909156431697,3.445594072341919,163,procon_corpus.jsonl#L1232,56349f3b-f397-436a-b193-74682f16cd93
1405,,Whole Clean Corpus,25.420565450430185,3.23555850982666,192,procon_corpus.jsonl#L1233,773fce6a-1e89-4e64-8c14-c561dccc5782
1406,,Whole Clean Corpus,70.32897258363944,4.253183841705322,149,procon_corpus.jsonl#L1234,d68fe0eb-e5c8-44b9-ba3d-c546f1f12a66
1407,,Whole Clean Corpus,40.57753731462575,3.703214645385742,151,procon_corpus.jsonl#L1235,27d3361e-78c8-477f-b4ca-346b9271e4e4
1408,,Whole Clean Corpus,41.70397893500604,3.7305965423583984,148,procon_corpus.jsonl#L1236,f775b092-0031-4d3d-925e-8c0227ac62ac
1409,,Whole Clean Corpus,27.223023888530804,3.304063081741333,130,procon_corpus.jsonl#L1237,9037c0b3-0c7b-4010-8e9a-d842e00ddbc2
1410,,Whole Clean Corpus,40.65917484650051,3.7052245140075684,93,procon_corpus.jsonl#L1238,a8064f6e-b29a-4e19-8bab-045d712be322
1411,,Whole Clean Corpus,70.36483113679165,4.253693580627441,78,procon_corpus.jsonl#L1239,3e252de7-f18d-41c6-9c9d-81339c875b69
1412,,Whole Clean Corpus,65.23963658704707,4.178067207336426,102,procon_corpus.jsonl#L1240,b09f2b69-139a-4bc6-8f74-db5be9935638
1413,,Whole Clean Corpus,63.7887108708115,4.155576229095459,167,procon_corpus.jsonl#L1241,726133de-db10-4662-b699-c7c8f2cfb2bf
1414,,Whole Clean Corpus,59.054750305947834,4.078464984893799,91,procon_corpus.jsonl#L1242,6545ba82-5a5c-4717-ae39-9fc8821a5e49
1415,,Whole Clean Corpus,39.70413640248849,3.681455373764038,103,procon_corpus.jsonl#L1243,80f9523e-d8c3-4a0e-a9f7-af46b14c445b
1416,,Whole Clean Corpus,27.363729803136717,3.309218406677246,63,procon_corpus.jsonl#L1244,277f42a8-f1c9-4971-8c55-50f85d6a49ed
1417,,Whole Clean Corpus,79.73262094048489,4.378678798675537,47,procon_corpus.jsonl#L1245,75677b61-213e-4579-b5cb-b4f194466820
1418,,Whole Clean Corpus,107.93549859498124,4.6815338134765625,40,procon_corpus.jsonl#L1246,97e51aef-8f1a-4515-ab95-785d573b9fb7
1419,,Whole Clean Corpus,49.28495049235341,3.8976187705993652,160,procon_corpus.jsonl#L1247,2a5c6ce3-1e87-413a-8e5a-4ec2a5d70b35
